In una carreggiata extraurbana del tipo rappresentata le corsie interne sono, di norma, riservate al sorpasso;V;GIUSTA;
In una vettura extraurbana del tipo rappresentato si puo sempre marciare per file parallele;F;GIUSTA;
Il conducente deve regolare la velocita in relazione alle caratteristiche della strada;V;GIUSTA;
Il conducente deve regolare la velocita entro i limiti massimi consentiti;V;GIUSTA;
Causa probabile di incidenti dovuti alla struttura della strada puo essere fondo stradale deformato;V;SBAGLIATA;
Causa probabile di incidenti dovuti alla struttura della strada puo essere fondo stradale scivoloso;V;GIUSTA;
Prima di aprire lo sportello di un veicolo dal lato rivolto verso il marciapiede bisogna assicurarsi che non sopraggiungano pedoni;V;GIUSTA;
E' opportuno che il conducente di un autoveicolo in sosta sul lato sinistro in una strada urbana a senso unico, ricordi al passeggero di prestare particolare attenzione ai veicoli che sopraggiungono, prima di aprire la portiera;V;SBAGLIATA;
Il semaforo in figura indica lo svolgimento di una gara ciclistica;F;SBAGLIATA;
Il semaforo di corsie reversibili in figura consente il transito nella corsia indicata dalla freccia verde;V;SBAGLIATA;
Il segnale raffigurato se barrato da una striscia rossa indica la fine della sua validita;V;GIUSTA;
Il segnale raffigurato indica un'area attrezzata con impianti di scarico per i veicoli che hanno i servizi igienico-sanitari;V;SBAGLIATA;
Il delineatore raffigurato indica che si e vicini ad un passaggio a livello;F;SBAGLIATA;
"Il delineatore raffigurato e installato ad un incrocio a forma di T""";V;SBAGLIATA;
In caso di ingombro della carreggiata per caduta del carico o per qualsiasi altra causa, il conducente deve rimuovere l'ingombro, per quanto possibile;V;GIUSTA;
In caso di ingombro della carreggiata per avaria del veicolo, il conducente non e tenuto a spostarlo, in attesa dei soccorsi, se il traffico e scarso;F;GIUSTA;
Il pannello integrativo raffigurato, posto sotto un segnale di pericolo, indica la distanza tra il segnale ed il punto d'inizio del pericolo;V;GIUSTA;
Il segnale raffigurato indica che il divieto di sosta continua;V;GIUSTA;
 La striscia a zig zag della segnaletica in figura serve agli autobus per facilitare la manovra di accostamento e per ripartire;V;SBAGLIATA;
Il dispositivo in figura e un dosso artificiale;V;SBAGLIATA;
Il rispetto della distanza di sicurezza evita la collisione con il veicolo che precede;V;GIUSTA;
Lo spazio totale di arresto e pari allo spazio percorso nel tempo di reazione piu quello percorso durante la frenata;V;GIUSTA;
Il segnale raffigurato preannuncia un'incrocio in cui vale la regola di dare la precedenza solo a destra ;F;SBAGLIATA;
Il segnale raffigurato obbliga a dare precedenza ai veicoli che circolano sulla strada su cui ci si immette ;V;SBAGLIATA;
Il segnale raffigurato preannuncia un senso unico;F;GIUSTA;
Il segnale raffigurato e un segnale di prescrizione;V;GIUSTA;
Un autoveicolo per poter circolare deve essere munito del certificato di assicurazione e relativo contrassegno, attestante il pagamento della copertura assicurativa;V;GIUSTA;
La patente di guida viene immediatamente ritirata, durante la circolazione, quando il conducente trasporta un passeggero in stato di ebbrezza;F;GIUSTA;
Il segnale raffigurato indica che possono passare gli autocarri con carico alto 3,50 metri dal piano del cassone;F;GIUSTA;
Il segnale (A), se integrato con il pannello (B), e il divieto di permanenza permanente;F;SBAGLIATA;
Il segnale raffigurato preannuncia una tratto di strada deformata;V;GIUSTA;
Il segnale raffigurato preannuncia una serie di dossi;F;GIUSTA;
Il casco deve essere completamente allacciato solo sui percorsi extraurbani;F;SBAGLIATA;
Lï¿½uso del casco non e obbligatorio su qualunque quadriciclo a motore;F;GIUSTA;
Durante la marcia, l'uso delle luci anabbaglianti non e consentito nelle gallerie illuminate        ;F;GIUSTA;
La targa posteriore di un autoveicolo deve essere illuminata con una luce bianca        ;V;GIUSTA;
Dopo aver eseguito una prima manovra di sorpasso, in strade ad almeno due corsie per senso di marcia, e possibile eseguirne un' altra senza rientrare a destra, se non si crea intralcio;V;GIUSTA;
La manovra di sorpasso puo effettuarsi a sinistra soltanto se il veicolo da sorpassare sta svoltando a destra;F;GIUSTA;
Nell'incrocio rappresentato in figura il veicolo E ha diritto di precedenza sul veicolo B;V;GIUSTA;
Giungendo all'incrocio rappresentato in figura il veicolo L deve passare per ultimo;V;SBAGLIATA;
